Reference,Quantity,Component,Manufacturer,Exact MPN,Value,JLCPCB/LCSC #,Package/Footprint,Purpose,Current Availability,Required for 5 Boards,Available Order Qty,Stock Checked UTC,Source URL
Q2,1,Motor MOSFET,Alpha and Omega Semiconductor,AO3400A,30V logic-level N-MOSFET,C20917,SOT-23,Vibration motor low-side driver,JLCPCB SMT; 982196 stock / 850448 available to order; checked 2026-09-08,5,850448,2026-09-08T15:42:54.421622+00:00,https://jlcpcb.com/partdetail/C20917
D1,1,USB VBUS TVS,LRC,LESD5Z5.0CT1G,5V bidirectional TVS,C136167,SOD-523,USB-C ESD and surge protection,JLCPCB SMT; 261692 stock / 251492 available to order; checked 2026-09-08,5,251492,2026-09-08T15:42:54.713507+00:00,https://jlcpcb.com/partdetail/C136167
D2,1,Motor flyback diode,HXY MOSFET,1N5819WS,40V Schottky,C5451629,SOD-323,Clamp motor inductive kick,JLCPCB SMT; 877429 stock / 875867 available to order; checked 2026-09-08,5,875867,2026-09-08T15:42:55.189302+00:00,https://jlcpcb.com/partdetail/C5451629
L1,1,Buck-boost inductor,Murata,DFE252012P-R47M=P2,0.47uH,C237552,2520 shielded power inductor,TPS63802 energy storage,JLCPCB SMT; 17645 stock / 16605 available to order; checked 2026-09-08,5,16605,2026-09-08T15:42:55.542917+00:00,https://jlcpcb.com/partdetail/C237552
Y1,1,Tuning-fork crystal,Epson Timing,FC-135 32.7680KA-AG3,32.768kHz 7pF,C7275970,FC-135 3.2x1.5mm,RTC oscillator,JLCPCB SMT; 4191 stock / 4151 available to order; checked 2026-09-08,5,4151,2026-09-08T15:42:56.910774+00:00,https://jlcpcb.com/partdetail/C7275970
R1; R2,2,USB-C CC resistors,UNI-ROYAL,0402WGF5101TCE,5.1k 1%,C25905,0402,CC1 and CC2 Rd pull-downs,JLCPCB SMT; 7957658 stock / 7328141 available to order; checked 2026-09-08,10,7328141,2026-09-08T15:42:56.621352+00:00,https://jlcpcb.com/partdetail/C25905
R3; R7; R10; R17,4,Resistor,UNI-ROYAL,0402WGF1002TCE,10k 1%,C25744,0402,BQ TS strap; interrupt/reset pull-ups,JLCPCB SMT; 29582872 stock / 25761267 available to order; checked 2026-09-08,20,25761267,2026-09-08T15:42:57.183028+00:00,https://jlcpcb.com/partdetail/C25744
R4,1,Feedback resistor,UNI-ROYAL,0402WGF5103TCE,510k 1%,C11616,0402,TPS63802 upper feedback,JLCPCB SMT; 44389 stock / 6744 available to order; checked 2026-09-08,5,6744,2026-09-08T15:42:57.584547+00:00,https://jlcpcb.com/partdetail/C11616
R5,1,Feedback resistor,UNI-ROYAL,0402WGF9102TCE,91k 1%,C4147,0402,TPS63802 lower feedback,JLCPCB SMT; 70927 stock / 57293 available to order; checked 2026-09-08,5,57293,2026-09-08T15:42:58.230700+00:00,https://jlcpcb.com/partdetail/C4147
R6; R11; R16; R19; R20; R22,6,Resistor,UNI-ROYAL,0402WGF1003TCE,100k 1%,C25741,0402,Pull-ups/pull-downs for PG BOOT backlight buttons and motor,JLCPCB SMT; 12546535 stock / 11156753 available to order; checked 2026-09-08,30,11156753,2026-09-08T15:42:59.266005+00:00,https://jlcpcb.com/partdetail/C25741
R8; R9,2,Resistor,UNI-ROYAL,0402WGF4701TCE,4.7k 1%,C25900,0402,I2C pull-ups,JLCPCB SMT; 19049141 stock / 17534834 available to order; checked 2026-09-08,10,17534834,2026-09-08T15:42:59.288151+00:00,https://jlcpcb.com/partdetail/C25900
R12,1,Battery ADC upper resistor,UNI-ROYAL,0402WGF1004TCE,1M 1%,C26083,0402,Battery voltage divider,JLCPCB SMT; 3047370 stock / 2700596 available to order; checked 2026-09-08,5,2700596,2026-09-08T15:42:59.252826+00:00,https://jlcpcb.com/partdetail/C26083
R13,1,Battery ADC lower resistor,UNI-ROYAL,0402WGF3303TCE,330k 1%,C25778,0402,Battery voltage divider,JLCPCB SMT; 208630 stock / 144810 available to order; checked 2026-09-08,5,144810,2026-09-08T15:42:59.931073+00:00,https://jlcpcb.com/partdetail/C25778
R14,1,LCD backlight resistor,UNI-ROYAL,0402WGF220JTCE,22ohm,C25092,0402,Limit LCD LED current,JLCPCB SMT; 7036237 stock / 6157032 available to order; checked 2026-09-08,5,6157032,2026-09-08T15:43:00.856790+00:00,https://jlcpcb.com/partdetail/C25092
R15; R21,2,MOSFET gate resistors,UNI-ROYAL,0402WGF1000TCE,100ohm 1%,C25076,0402,Backlight and motor gate damping,JLCPCB SMT; 3783352 stock / 2753136 available to order; checked 2026-09-08,10,2753136,2026-09-08T15:43:00.953382+00:00,https://jlcpcb.com/partdetail/C25076
C1; C3; C11,3,Ceramic capacitor,Samsung Electro-Mechanics,CL05A105KA5NQNC,1uF 25V X5R,C52923,0402,BQ25180 input/battery; MCU analog bulk,JLCPCB SMT; 10285427 stock / 8454542 available to order; checked 2026-09-08,15,8454542,2026-09-08T15:43:00.968252+00:00,https://jlcpcb.com/partdetail/C52923
C2; C4,2,Ceramic capacitor,Samsung Electro-Mechanics,CL21A106KAYNNNE,10uF 25V X5R,C15850,0805,BQ SYS; buck input,JLCPCB SMT; 7438468 stock / 6107625 available to order; checked 2026-09-08,10,6107625,2026-09-08T15:43:02.121096+00:00,https://jlcpcb.com/partdetail/C15850
C5; C23,2,Ceramic capacitor,Samsung Electro-Mechanics,CL21A226MAQNNNE,22uF 6.3V X5R,C45783,0805,Buck output and motor local bulk,JLCPCB SMT; 5102115 stock / 4317591 available to order; checked 2026-09-08,10,4317591,2026-09-08T15:43:02.570882+00:00,https://jlcpcb.com/partdetail/C45783
C8; C9; C10; C13; C14; C15; C16; C17; C22,9,Ceramic capacitor,Yageo,CC0402KRX7R7BB104,100nF 16V X7R,C60474,0402,IC decoupling reset and ADC filtering,JLCPCB SMT; 15788410 stock / 15149881 available to order; checked 2026-09-08,45,15149881,2026-09-08T15:43:02.844709+00:00,https://jlcpcb.com/partdetail/C60474
C12,1,Ceramic capacitor,Samsung Electro-Mechanics,CL10A475KO8NNNC,4.7uF 16V X5R,C19666,0603,MCU bulk,JLCPCB SMT; 3903624 stock / 3310713 available to order; checked 2026-09-08,5,3310713,2026-09-08T15:43:02.692103+00:00,https://jlcpcb.com/partdetail/C19666
J3,1,Programming/debug connector,JST,SM06B-SRSS-TB(LF)(SN),6-pin custom SWD,C160405,JST-SH 1.0mm right-angle SMT 6P,Direct SWD programming: 3V3 SWDIO GND SWCLK NRST BOOT0,JLCPCB SMT; 1781 stock / 1091 available to order; checked 2026-09-08,5,1091,2026-09-08T15:43:04.433942+00:00,https://jlcpcb.com/partdetail/C160405
J4,1,LCD FPC connector,JUSHUO,AFC24-S15FIA-00,15-pin 0.5mm dual-contact hinged FPC,C6709462,Right-angle SMT; 0.3mm FPC; 2mm height,Connect ER-TFT1.28-3 display flex,JLCPCB SMT; 6812 stock / 6764 available to order; checked 2026-09-08,5,6764,2026-09-08T15:43:04.359445+00:00,https://jlcpcb.com/partdetail/C6709462
